Material,Material Description
600051001036,"FUSE, 63 AMPS, LT , CAT NO-SF90159"
600051001037,"FUSE, 200A, LT , CAT NO-SF94132"
600051001038,"FUSE, 63 AMPS, LT , CAT NO-SF90159"
600051001039,Fuse- 2 Amp 500 V
600051001040,"FUSE, 63 AMPS, LT , CAT NO-SF90159"
600051001043,"FUSE WITH FUSE HOLDER, 2 AMP"
600051001048,"FUSE, 63 AMPS, LT , CAT NO-SF90159"
600051001049,DC fuse 315 amp 1250V
600051001050,AC HRC fuse 16A 550V
600051001051,"CONTROL FUSE 3A,250V"
600051001052,AC HRC fuse 16A 550V
600051001053,AVT Z TYPE 33KV 3.15A PT FUSE
600051001054,"80ET, FUSE 690V, 80A, TYPE - BS 88.4"
600051001055,"160EET, FUSE 690V, 160A, TYPE - BS 88.5"
600051001059,"80ET, FUSE 690V, 80A, TYPE - BS 88.4"
600051001060,GLASS FUSE - T4A (553350454-00)
600051001061,Fuse – 0SPF015.T
600051001062,"HRC FUSE 1000V DC, 30A"
600051001063,Fuse – 0SPF015.T
600051001064,PV fuse 16A 1000V DC
600051001065,Fuse – 0SPF015.T
600051001066,Fuse10A32x6mmGlass CartridgeP/N-EC190258
600051001067,Fuse – 0SPF015.T
600051009354,FUSE LINK 160A P/N- EC190244
600052001069,"High voltage HRC fuse12KV3.15A, Bussmann"
600052001071,SOCKET-6AMP
600052001072,"High voltage HRC fuse12KV3.15A, Bussmann"
600052001073,SOCKET-6AMP MODULER
600052001074,IGNITOR SN-58
600052001075,SOCKET - 25 SQ.MM RING TYPE
600052001078,Bussing template 156.75mm986mm 3.5mm(F)
600052001079,CABLE SOCKET - 300SQ.MM FLAT TYPE COPPER
600052001080,SOCKET-400 SQ.MM AL FLAT
600052001081,SOCKET-185 SQ.MM AL FLAT
600052001082,300sqmmX1Core Arm AL XLPE Cable 11KV(E)
600052001083,SOCKET-RING CUPPER-35 SQ.MM
600052001084,Al Cable lug 35sqmm pin
600052001085,SOCKET-ALUMINIUM-FLAT 150 SQ.MM
600052001088,10sq mm single core Cu flexible cable
600052001090,CABLE SOCKET-4 SQ.MM COPPER RING TYPE
600052001092,CABLE SOCKET-120 SQ.MM COPPER FLAT TYPE
600052001093,CABLE SOCKET-95SQMM COPPER RING TYPE
600052001094,CABLE 1.5 SQ.MM 2 CORE FLEXIBLE
600052001097,CABLE SOCKET-2.5 SQ.MM COPPER PIN TYPE
600052001100,CABLE SOCKET-10 SQ.MM COPPER FLAT TYPE
600052001101,SOCKET 70 SQ MM - BOTTLE TYPE ALUMN
600052001102,ANTI SPLASH SWITCH (SO0484)
600052001103,SOCKET 35 SQ MM - BOTTLE TYPE ALUMN
600052001104,SOCKET 25 SQ MM - BOTTLE TYPE ALUMN
600052001105,SOCKET 16 SQ MM - BOTTLE TYPE ALUMN
600052001106,Switch / Hubs (Dlink / 8 Port)
600052001107,SOCKET 25 SQMM -FALT ALUMN
600052001109,"MCCB, 400A,3POLE,ABB, SACE-TMAX"
600052001110,SOCKET 6SQ MM BOTTLE TYPE COPPER
600052001111,PL-L Lamp 4Pin-18W
600052001115,SOCKET 4 SQMM BOTTLE TYPE - COPPER
600052001116,Cable Socket 240Sq.mm Aluminium Flat
600052001117,Cable Socket 4-6Sq.mm Copper Ring Type
600052001118,Bussing template 156.75mm986mm 3.5mm(F)
600052001119,Cable Socket 120Sq.mm Aluminium Flat
600052001120,SOCKET-300 SQ.MM AL FLAT
600052001121,Cable Socket 50Sq.mm Copper Ring Type
600052001122,"KIT OIL STOP/CH. VALVE(2901201200),GA 75"
600052001123,Cable Socket 185Sq.mm Copper  Flat Type
600052008176,Cable Socket 150Sq.mm Copper Bottle Type
600052008539,"POWER SUPPLY 24V DC,5AMP"
600053001135,FUSE - HRC 250 AMP
600053001139,FLEXIBLE PIPE -20MM PVC
600053001140,Do Not Use
600053001147,Damping Hose-190mm (Glass Washing M/C)
600053001149,VGA Cable - 3 Mtrs
600053001151,Break Hose
600053001156,Radiator Hose
600053001157,Flex Hose P/N -  0575 1216 62 GA75
600053001158,Cartridge 12A (R)
600053001159,OUTLET DRAIN HOSE (558350397-00)
600053001161,SUCTION HOSE ASSY(558350536-00)EB 50/45
600053001162,Coolant Hose
600053001167,Switch / Hubs (Dlink / 8 Port)
600053001169,EXHAUST RUBBER HOSE P/N- MH16883
600053001170,HOSE WATER OUTLET (553350394-00)
600053001171,HOSE BEP ASSY A 32 (HA 13677002)
600053007895,SOCKET 4 SQMM FLAT TYPE COPPER
600053009047,PVC BIB COCK -1/2
600053009049,Cable Socket 240Sq.mm Aluminium Flat
600053009050,"HOSE FIP TO SO FILTER ON ENG ,MH39550766"
600053009059,Bussing template 156.75mm986mm 3.5mm(F)
600053009060,"RADIATOR HOSE LOWER , MH16970"
600053009117,"HOSE RADIATOR TOP, MH16971"
600053009118,HYDRAULIC HOSE ASSEMBLY P/N- MH40697
600053009216,Cable Socket 50Sq.mm Copper Flat Type
600054001175,"SO0008 VF,Flexi. Hose 2.5 Mtr,W/o connt."
600054001177,Cable Socket 150Sq.mm Copper Bottle Type
600054001178,RUBBEER FLEXIBE HOSE PIPE-3/4
600054001183,CABLE SOCKET-120 SQ.MM COPPER FLAT TYPE
600054001187,G.I SHORT PCS(2 1/2X12)
600054001190,G.I SHORT PCS(1/2X3)
600054001191,CONNECTOR PIPE 24
600054001192,REGISTER(ATTENDANCE)
600054001193,G.I SHORT PCS(1/2X2)
600054001195,ANTI SPLASH SWITCH (SO0484)
600054001198,CONNECTOR PIPE-18
600054001202,SOCKET 10 SQ MM - BOTTLE TYPE COPPER
600054001203,G.I SHORT PCS(1 1/2 X 4)
600054001205,G.I SHORT PCS(1/2X4)
600054001207,Rubber Hose Pipe
600054001211,FLOOR WIP COLOR STICKER-7 TYPE-50X50 MM
600054001213,PVC PIPE - 4
600054001214,G.I. SHORT PIECE-4X4
600054001215,G.I. SHOT PIECE-2X4
600054001218,FLEXIBLEHOSE 2.5 M(Excl.connect)(SO0008)
600054001222,PVC PIPE-1
600054001225,PVC PIPE 2
600054001230,PVC Pipe (20 ft) 1¼?
600054001231,Cable Socket 240Sq.mm Aluminium Flat
600054001232,"PVC Pipe , 1½"""
600054001250,Bussing template 156.75mm986mm 3.5mm(F)
600054001252,PIPE 3/8 (RO)
600054001258,H P HOSE ( CV TO MAST) P/N-MH993832846
600054001266,50 mm UPVC PIPE
600054002053,PVC PIPE 1½
600055001271,POLYURETHANE TUBE PUN-10 X1.5
600055001272,Cable Socket 150Sq.mm Copper Bottle Type
600055001273,CABLE GLAND-29MM PVC
600055001274,CABLE SOCKET-120 SQ.MM COPPER FLAT TYPE
600055001276,CABLE GLAND-16 X 4C
600055001277,TUBELIGHT FITTING-2'(20WATT)
600055001281,CABLE GLAND-2.5 X 4C
600055001286,CABLE GLAND-20MM PVC
600055001288,Cable Gland-2.5Sq.mmX2Core Brass
600055001289,DRAIN HOSE (558350248-00)
600055001290,CABLE GLAND-3.5CX300 SQ.MM
600055001292,SUCTION HOSE ASSY(558350536-00)EB 50/45
600055001293,CABLE GLAND - 25 SQ.MM X 3.5 CORE (BRASS
600055001294,FUSE HRC 32AMP
600055001295,Cable Gland 32mm
600055001296,Cable Gland 28mm
600055001297,Cable Gland 22mm
600055001298,"MCCB, 400A,3POLE,ABB, SACE-TMAX"
600055001299,Cable Gland 50mm
600055008221,Cable Gland 57mm
600056001302,PVC Gland PG11
600056001304,PVC PIPE 2
600056001305,PVC 4WAY CIRCULAR BOX
600056001309,CABLE ENTRY BOX-315A. SFU
600056001311,PVC BOX-6 X 4
600056001324,Hose Pipe
600056001326,M.S BOX-6 MODULER
600056001331,UPVC 32 mm  pipe Plumbing
600056001332,PVC BOX-4 X4
600056001335,PVC PIPE 1½
600056001336,PVC Circular Box 25mm-3Way
600056001345,PVC Circular Box 20mm-1Way
600056001347,"SCADA FUSE(3A,1000V DC)"
600056001349,CABLE GLAND-50 X 2/3C
600056008220,NON-POTTING TYPE SMART JB JIG TIGO-TS4
600056008334,CABLE GLAND-4 X 4C
600056008537,"AJB 1 I/P,1 O/P"
600056008538,PVC PIPE(NYLON)
600057001350,6 modulebox with cover cat-sm6
600057001353,CAPACITOR-2.5MFD
600057001354,Capacitor 43 MFG
600057001359,Cable 10 Sq.mm 2 Core Cu Flexible
600057001360,Capacitor 200-250 MFD
600057001366,WSD 25 (1613 8222 80)
600057001367,"CAPACITOR 100 MFD,450V"
600057001368,G.I. SHORT PIECE-4X4
600057001372,"CAPACITOR , 45 MFD ,600 V AC"
600057001373,"CAPACITOR, 4 MFD , 440V"
600057001375,"CAPACITOR , 60 MFD , 440V"
600057001376,4SqmmX2Core Al Arm Cable 1.1kV
600057001377,"CAPACITOR, 64000UF, 63 V, P/N-120105088"
600057001378,"CAPACITOR,47MF,25V,VR(M)"
600057001379,"CAPACITOR,220MF,35V,RS(M)"
600057001382,PVC PIPE 2
600057001383,"CAPACITOR, 72 MFD, 220V"
600057001384,"CAPACITOR, 100 MFD, 220V"
600057001385,"CAPACITOR 45 + 4 MFD, 440V"
600057001389,Hose Pipe
600057001390,"CAPACITOR 25 MFD, 450 VAC"
600057001391,UPVC 32 mm  pipe Plumbing
600057001392,CAPACITOR 20 MFD (558350129-00)
600058001394,PVC PIPE 1½
600060001396,AMPERE TUBE-5MM
600061001399,EARTHING COVER PLATE
600061001404,LIGHTING CONDUCTOR
600061001405,CABLE GLAND-50 X 2/3C
600062001412,Citel Make SPD Model:DLA-06D3
600062001419,CABLE GLAND-4 X 4C
600063001420,G.I. TRAY 12X12''
600063001423,CABLE GLAND 3.5CX400 SQ.MM
600064001425,HT TAPE
600064001426,PVC TEE-20MM
600064001428,PVC TEE-25MM
600064001429,SUCTION HOSE ASSY(558350536-00)EB 50/45
600064001430,G.I TEE-1 1/2 X 1/2
600064001432,FUSE HRC 32AMP
600064001434,G.I TEE- 1/2 X 1/2
600064001435,Cable Gland 19mm
600064001436,G.I. TEE-2X1/2
600064001437,G.I. TEE-2
600064001438,G.I. TEE-1 1/2
600064001446,PVC 1WAY CIRCULAR BOX
600064001447,PVC Tee - 1?
600064001450,PVC TEE-40MM
600064001451,1/4DUSH TEE (RO PLANT FAB I)
600064001452,Capacitor 6 mfd @440 Vac
600064001453,UPVC Tee 25 mmPlumbing
600064001454,UPVC Tee 32 mmPlumbing
600064001458,UPVC Tee 40 mm Plumbing
600064001459,"CAPACITOR 30 + 2 MFD, 440V"
600064001460,UPVC Tee 50 mm plumbing
600064001462,"CAPACITOR NO, 15 MFD 450 VAC"
600064008907,PVC TEE 2½ X 2
600064008910,CAPACITOR 100-120 MFD (558350128-00)
600065001463,"SILENCER U-3/8 PART NO. 2309, FESTO"
600065001465,PVC Elbow
600065001468,FORGED ELBOW - 3/4
600065001469,LIGHTING ARRESTER 30 KV
600065001471,COPPER ELBOW 1/8
600065001473,PVC CASSING-25MM
600065001474,G.I. ELBOW-3
600065001475,Bleaching Powder
600065001476,G.I. ELBOW-1/2
600065001477,G.I. ELBOW-4
600065001480,G.I. ELBOW-1 1/2X1
600065001487,CATRIDGE-920 XL CYAN CD972A(Hp)
600065001488,Elbow 1/2 X 3/8 (RO)
600065001489,CABLE GLAND - 70 SQ.MM X 3.5 CORE (BRASS
600065001490,ELBOW 1/8 (RO)
600065001491,"BUSHING,P/N-1622000900,GAE-22"
600065001492,UPVC Elbow 32 mm  Plumbing
600065001493,UPVC Elbow 40 mm  Plumbing
600065001495,UPVC Elbow 65 mm Plumbing
600065001496,CABLE 400 SQ.MM X 3.5 CORE AL.ARMOURED
600065001499,UPVC ELBOW 20 MM Plumbing
600065001504,PVC Elbow -40mm
600065001505,PVC ELBOW  2
600065001506,PVC TEE-40MM
600066001507,PVC ELBOW ¾
600066008557,PVC Bend-25mm
600067001511,U.J.Cross
600068001514,UPVC Tee 32 mmPlumbing
600069001518,BLANK PLATE (FALSE COVER)
600069001520,"CAPACITOR 30 + 2 MFD, 440V"
600069001521,SCREWDRIVER SET WITH TESTER
600069001523,"CAPACITOR NO, 15 MFD 450 VAC"
600069001525,SCREW ALLEN-M6X20)
600069001527,SCREW ALLEN-M6X30)
600069001531,SCREW ALLEN-M6X50)
600069001532,PVC Elbow
600069001537,SCREW DRIVER(STAR)-SMALL 6
600069001538,LIGHTING ARRESTER 30 KV
600069001540,Screw Driver Set
600069001542,CABLE GLAND-4 X 4C
600069001543,Hexagonal Head Screw - 7.304-546.0
600069001546,Screw for Jbox-cm04
600069001547,Screw driver (Insulated)
600069001548,PVC TEE-20MM
600069001553,"SCREW DIVER ,15,SIZE=8X300MM"
600069001554,SUCTION HOSE ASSY(558350536-00)EB 50/45
600069001555,Screw Driver MinusTaparia Model No:824
600069001556,FUSE HRC 32AMP
600069001558,Screw Driver MinusTaparia  Model No:929
600069001559,Screw Hex HD. M8 X 45 SS304
600069008158,HEX HEAD SCREW (552040038-00)
600069008949,G.I. TEE-2
600069009093,THREAD ROD ASSY(558210060-00)
600069009094,M3 x 5mm SS Hex Socket Set Grub Screw
600069009095,M4 x 6mm SS Hex Socket Set Grub Screw
600069009096,CABLE 400 SQ.MM X 3.5 CORE AL.ARMOURED
600069009097,M6 x 10mm SS Hex Socket Set Grub Screw
600069009098,M8 x 12mm SS Hex Socket Set Grub Screw
600069009099,M10 x 15mm SS Hex Socket Set Grub Screw
600069009104,PVC TEE-40MM
600069009105,GRUB SCREW P/N- MH870000904
600070001561,Wooden Gully
600070008380,STARTER
600070008468,SCREW 1 1/2
600070008724,"STARTER,EILIDA S2,RANGE-110-130V,4-22WAT"
600070008725,One HP Single Phase motor starter
600070008932,Two HP Single Phase motor starter
600071001564,"CAPACITOR NO, 15 MFD 450 VAC"
600072001568,CEILING ROSE
600073001569,SCREW DRIVER-SMALL 6
600073001571,SOCKET - 70 SQ.MM AL. FLAT
600073001572,PVC BOX-10 X 12
600074001576,"TOP-3PIN,16AMP"
600074001577,Male Connector QS- 1/2-12
600074001580,MALE CONNECTOR QS- 3/8-12
600074001581,G.I. ELBOW-1 1/4X1 1/2
600074001582,TEE CONNECTOR QST-8
600074001584,CABLE GLAND-42MM PVC
600074001585,Male Connector QS- 1/8-8
600074001586,SOCKET-RING CUPPER-120 SQ.MM
600074001587,Photovoltaik Connector
600074001588,CONNECTOR(M/F) 16MM -HOT KNIFE STATION
600074001593,Pushing Connector (QS 1/4-8)
600074001594,UPVC Elbow 25 mm  Plumbing
600074001595,Male connetor QS-1/4 - 6
600074001596,Push in Fitting Connector QS-1/8-4
600074001597,Push in Fitting Connector QS-1/4-12
600074001598,Wing Screw -5.305-296.0
600074001599,Push in Fitting Connector QS-1/2-16
600074001600,Push in Fitting Connector QS-3/8-16
600074001601,Push in L-fitting Connector QSL-1/8-6
600074001602,M5 x 8mm SS Hex Socket Set Grub Screw
600074001603,Push in L-fitting Connector QSL-1/4-12
600074001604,M8 x 12mm SS Hex Socket Set Grub Screw
600074001605,Push in T-fitting Connector QST-4
600074001606,PVC TEE-40MM
600074001607,Push in T-fitting Connector QST-8
600074001608,Push in T-fitting Connector QST-12
600074001609,Push in T-fitting Connector QST-16
600074001610,"DOL STARTER FOR 3 PHASE MOTOR,0.6-1AMP"
600074001611,Push in T-fitting Connector QST-1/2-16
600074001612,One HP Single Phase motor starter
600074001613,Push in Y Connector QSY- 4
600074001614,CAPACITOR 100-120 MFD (558350128-00)
600074001615,Push in Y Connector QSY-6
600074001616,Push in Y Connector QSY-8-6
600074001617,Push in Y Connector QSY-8
600074001618,Solar Cable - 6Sq.mm. x 1 Core (Black)
600074001619,Push in Y Connector QSY-10-8
600074001620,Screw(Part No. 7.303-212.0)
600074001621,Push in Y Connector QSY-16-12
600074001622,Screw for Jbox-cm04
600074001623,Push in Connector QS-8
600074001624,Push in Connector QS-16
600074001625,Push in Connector QS-4
600074001626,Laser Safety Goggles
600074001627,Push in Connector QS-12
600074001628,Push in Connector QS-6-4
600074001629,Push in Connector QS-10-8
600074001630,CONNECTOR(M/F) 16MM -HOT KNIFE STATION
600074001631,Push in Connector4Way SMC-6-4(KQ24D4-06)
600074001632,Photovolt Connector MC4(M)
600074001639,Photovoltaik Connector MC4(F)
600074001640,Push in Fitting Connector QS-1/8-4
600074001647,Y Type Connector Female
600074001649,Wing Screw -5.305-296.0
600074001650,Push tap
600074001651,Push in L-fitting Connector QSL-1/8-4
600074001652,"CONNECTION,VMPAL-EVAP20SPE,571011,FESTO"
600074001653,CONNECTING LINK PIN ( GODREJ )
600074001654,VM-EMB-WITH CONNECTOR ASSY(558350240-00)
600074001655,M8 x 12mm SS Hex Socket Set Grub Screw
600074001656,Push in Connector QS-16-12
600074001657,PVC TEE-40MM
600074001658,Push in T Connector QST-12-10
600074001659,Tee 3/8 X 1/4 X 1/4 (RO)
600074001660,Push in Y Connector QSY-12-8
600074001661,Push in Y Connector QSY-12-10
600074001662,Push in L Fittings Connector QSL-M5-4
600074001663,ECOCLICK STARTER S2(4- 22W)
600074001664,Push in L Fittings Connector QSL-R3/8-8
600074001665,33 kv Rubber Mat
600074001666,Push in L Fittings Connector QSL-R3/8-12
600074001667,HP Cartridge- CE742A Yellow
600074001668,Push in L Fittings Connector QSL-R1/2-10
600074001669,Push in L Fittings Connector QSL-R1/2-16
600074001670,Pushin L F Fittings ConnectorQSL-R3/8-8F
600074001671,Male Connector QS- 1/4-8
600074001672,Push in L Fittings Connector QST-R1/2-12
600074001673,Pushin L Fittings ConnectorQSL-R1/8-8-6W
600074001674,Pushin L Fittings ConnectorQSL-R1/8-8-4W
600074001675,Screw for Jbox-cm04
600074001676,Push in Fittings Connector QS-M5-6
600074001677,Push in Fittings Connector QS-R1/4-10
600074001678,Push in Fittings ConnectorQS-R3/8-8
600074001679,Laser Safety Goggles
600074001680,Push in Fittings Connector QS-M5-6
600074001681,Push in Connector QS-10-12
600074001682,Push in Connector One End Open QS-6
600074001683,Photovolt Connector MC4(M)
600074001684,Push in Connector One End Open QS-10
600074001685,Push in Connector Block QS-4
600074001686,Push in Connector Block QS-6
600074001687,Push Connector 3/8 X 1/4 (RO)
600074001688,Push in Connector Block QS-10
600074001689,MC4 connector for sun simulator both sid
600074001690,"RTD CONNECTOR (M/F), 3 PIN, MAKE: OMEGA"
600074001691,Push in L-fitting Connector QSL-1/2-12
600074008048,"SERIAL FEMALE CONNECTOR, DB25"
600074008059,Pushing Connector Elbow (QSL 1/4-8)
600074008832,ONE TOUCH FITTINGS P.No. KQ2UD04-06
600074008833,Clamp Hose
600074008834,Pushin Connector RegulatorGRLA-QS-6-RS-D
600074008835,FUSE 6A NSD TYPE
600074008963,Pneumatic pipe release tools QSO-3-10
600074009077,Push in T-fitting Connector QST-3/8-16
600074009078,"Male Connector,KQ2D04-01S,SMC"
600074009222,"Female Connector, KQ2F06-01, SMC"
600074009364,(558350240-00)VM-EMB With Conect. Assy.
600074009441,SCREW WDRIVER(TAPARIA)-829
600075001694,"Push in Fittings 1/4"" * 8 mm female"
600075001696,PVC SADDLE-20MM
600075001698,G.I SADDLE 40X6
600075001700,Push in L Fittings Connector QSL-R3/8-16
600075008030,G.I BAR SADDLE (25 X 3)MM
600076001704,PVC  SADDLE  1 1/2 (40MM)
600076001708,MCB DB 12WAY
600076001709,Push in L Fittings Connector QST-R3/8-12
600076001710,MCB 63AMP FP
600076001714,Pushin L Fittings ConnectorQSL-R1/8-8-6W
600076001715,MCB DP 25AMP (CHANGE OVER SWITCH)
600076001717,Screw for Jbox-cm04
600076001718,MCB SP 10AMP
600076001723,MCB SP 16Amp
600076001724,MCB 3P 32AMP
600076001729,Laser Safety Goggles
600076001734,MCB 3P 16AMP
600076001735,Push in Connector QS-10-12
600076001736,MCB DP 20 AMP
600076001738,CATRIDGE-920 XL CYAN CD972A(Hp)
600076001739,MCB 40AMP FP
600076001741,MCB 32AMP DP
600076001743,MCB 4 P 16 A
600076001748,M3 x 5mm SS Hex Socket Set Grub Screw
600076001750,16 Way MCB DB Box
600076008553,Push in L-fitting Connector QSL-1/8-4
600076008554,"MPCB,3PH 440VAC,RANGE:1.6-2.5A"
600077001763,T-Branch connector mc4
600077001764,"CIRCUIT BREAKER LOCKOUTS , LKYFMBL04"
600077001765,"CIRCUIT BREAKER LOCKOUTS , LKYFMBL06"
600077001767,CIRCUIT BREAKER AC NW20 H2-3-POL
600077001768,PVC TEE-40MM
600077001769,CIRCUIT BREAKER 6A (553250260-00)
600078001775,"3WT FRONT FACIA, 3WT98770BA08"
600078001777,Bolt & Nut M10x300
600078001783,FUSE 6A NSD TYPE
600078009086,GI Step Bolt 16Øx175mm
600078009088,"Allen bolt half thread,M10X80MM"
600078009126,M8-60mm SS Allen bolt- Nut & Spg washer
600079001787,"Female Connector, KQ2F06-01, SMC"
600079001793,G.I WASHER
600079001795,SCREW WDRIVER(TAPARIA)-829
600079001796,Locking Ring 35(Part No. 7.343-167.0)
600079001797,PVC SADDLE-25MM
600079001799,Lock Washer(Part No. 7.343-206.0)
600079001802,Lock Washer-7.343-306.0
600079001815,G.I. Washer 14mm
600079001816,MCB 32AMP FP
600079001817,"SEAL WASHER, PART NO. 0661 1000 40"
600079001818,MCB 2AMP FP
600079001819,"SEAL WASHER, PART NO. 0661 1000 60"
600079001820,"ISOPROPYLE ALCHOL, LR GRADE"
600079001821,"SEAL WASHER,PART NO. 0661 1000 38"
600079001822,"SEAL WASHER, PART NO. 0661 1000 43"
600079001823,"SEAL WASHER, PART NO. 0661 1000 44"
600079001825,G.I ELBOW-1 1/2
600079001826,Washer SC M8 SS304
600079001827,Push in Connector QS-6-4
600079009048,WASHER CASTOR BOTTOM (553350785-00)
600080001828,Stick Pad-Medium(50X75)mm
600080001836,NUTS 1/4
600080001837,Hexagon Nut(Part No. 7.311-068.0)
600080001838,Hexagon Nut M(Part No. 7.311-432.0)
600080001839,Male connetor QS-1/8 - 6
600080001840,M4 SS Nut
600080001841,M5 SS Nut
600080009043,M6 SS Nut
600080009044,MCB-DP-10A-C-TYPE
600081001852,"NUT AXLE MTG. M24X3 , MH02096492"
600081001853,Anchor Fastener (Pin Type)-100mmX10mm
600081001855,NUT BOLT WITH WASHER (12X75 M.S)
600081001859,T-Branch connector mc4
600081001864,M12x35 HEX HEAD PL&SP WSR SS304 FSTNR
600081001865,Closing Coil 33 KV VCB
600081001866,Nut bolt with washer-M8 X 50 (GI)
600081001867,"3WT FRONT FACIA, 3WT98770BA08"
600081001868,Nut bolt with washer-M8 X 100 (GI)
600081001869,"M10X30,HEX HEAD,PL&SP WSR,SS304,FASTENER"
600083001874,M16x70 HEX HEAD PL&SP WSR SS 304 FSTNR
600085001879,"Allen bolt half thread,M10X80MM"
600085001880,HAND GRINDER  4 (BOSCH)
600085001881,"Female Connector, KQ2F06-01, SMC"
600085001882,Bench Grinder Coil For Model:STGB3715
600086001883,PV fuse 30A 1000V DC
600086001884,Drill Machine GBM-13-2
600086001885,Drilling Machine(BOSCH) RE 13
600086001886,Drill Machine
600086001888,PVC  SADDLE  1 1/2 (40MM)
600086001889,Drill Machine Carbon Brush
600086001890,BIT NIPPLE (1/2) AIRNET PIPE
600086001891,Drill Machine Switch
600086001892,Pushin L Fittings ConnectorQSL-R1/8-8-6W
600086001893,Drill Machine Brush Plate
600086001894,Drill Machine Plate
600086001895,Drill Machine Lever
600086001896,MCB SP 16Amp
600086001897,Drill Machine Stator
600087001898,Drill Machine Bracket
600087001900,GRINDING WHEEL 5
600087001901,G.I ELBOW-1 1/2
600087001903,"GRINDING WHEEL, 4, AG4"
600087001904,"GRINDING WHEEL SMOOTH,6,ID:12.7,T:16MM"
600088001905,"GRINDING WHEEL ROUGH,6,ID:12.7,T:16MM"
600088001907,"COPPER WASHER - M 14 [GX], MH39550102"
600088001909,CUTTING WHEEL - 4
600089001911,Hexagon Nut(Part No. 7.311-068.0)
600090001919,BAR SADDLE 25MM
600090001920,Male connetor QS-1/8 - 6
600090001926,Lug - 240 Sq.mm BI - Metallic
600090001930,Ring Lug AL 16 Sq. mm.
600090001931,Aluminium Lug 300 Sq. mm.
600090001932,MCB-DP-10A-C-TYPE
600090001933,Aluminium Lug 120 Sq. mm.
600090001934,G.I. Nut Bolt-12mmX75mm Full Thread
600090001939,Aluminium Lug 150 Sq. mm.
600090001945,Washroom Cleaner and Sanitization
600090001946,Pin type CU lug 10 sqmm
600090001948,LUGS - COPPER FLAT LONG BARREL 95 SQMM
600090001949,Lug 120 Sq.mm. BI Metalic
600092001954,Cotton Gloves
600092001957,BAKELITE SHEET
600093001959,VM-EMB-WITH CONNECTOR ASSY(558350240-00)
600093001960,BELL PUSH INDICATOR
600093001961,UPVC Elbow 50 mm plumbing
600093001962,LAMP HALOGEN
600093001964,LAMP-PL 36W
600093001965,LAMP-100W
600093001967,Locking Ring 15(Part No. 7.343-015.0)
600093001974,Metal Lamp 400W
600093001975,LAMP(NIGHT)
600093001978,Torch Light
600093001983,"DRILLING CHUCK,KEYTYPE 1.5-13 MM"
600093001985,"MERCURY LAMP(400W):MODEL-HPI PLUS,BJ"
